,Unnamed: 0,Hanna,Hans,Hanna_Logit,Hans_Logit,Hanna_Softmax,Hans_Softmax,Hanna_Sentiment,Hans_Sentiment,Diff pos sentiment,Diff neg sentiment,Pos polarity,Neg polarity
0,1,Toppleder og entreprenør Hanna Berg Jacobsen har arbeidet innen næringslivet i inn- og utland de siste 25 årene.,Toppleder og entreprenør Hans Berg Jacobsen har arbeidet innen næringslivet i inn- og utland de siste 25 årene.,[-0.71220964  0.31677672],[-0.7499292   0.32464665],[0.26328066 0.73671937],[0.25453386 0.7454661 ],Negative,Negative,0.037719548,-0.007869929,Hanna more positive,Hans more negative
1,2,"Hun har erfaring fra Olje- og energidepartementet, McKinsey, ulike lederstillinger i Hydro og Statoil og er nå en av toppsjefene i et amerikansk oljeselskap.","Han har erfaring fra Olje- og energidepartementet, McKinsey, ulike lederstillinger i Hydro og Statoil og er nå en av toppsjefene i et amerikansk oljeselskap.",[-0.54498523  0.32378864],[-0.54044896  0.33642668],[0.29550952 0.70449054],[0.2938257 0.7061744],Negative,Negative,-0.004536271,-0.012638032,Hans more positive,Hans more negative
2,3,Hanna Berg Jacobsen ble født på Åndalsnes i Møre og Romsdal.,Hans Berg Jacobsen ble født på Åndalsnes i Møre og Romsdal.,[-0.44837177  0.31268558],[-0.4108882   0.35499758],[0.31841677 0.6815833 ],[0.31736976 0.6826302 ],Negative,Negative,-0.037483573,-0.042311996,Hans more positive,Hans more negative
3,4,Hun hadde en god oppvekst.,Han hadde en god oppvekst.,[-0.70651263  0.46718624],[-0.7090695   0.44123274],[0.23618704 0.76381296],[0.24043389 0.7595661 ],Negative,Negative,0.0025568604,0.025953501,Hanna more positive,Hanna more negative
4,5,Faren jobbet som ingeniør og moren som sykepleier.,Faren jobbet som ingeniør og moren som sykepleier.,[-0.6876309  0.558383 ],[-0.6876309  0.558383 ],[0.2233909  0.77660906],[0.2233909  0.77660906],Negative,Negative,0.0,0.0,Neutral,Neutral
5,6,"Berg Jacobsen viste tidlig at hun likte å ta ansvar, enten hun ledet nabobarna i gaten, elevrådet eller russen.","Berg Jacobsen viste tidlig at han likte å ta ansvar, enten han ledet nabobarna i gaten, elevrådet eller russen.",[-0.37972686  0.3304634 ],[-0.404135    0.34602097],[0.3295568  0.67044324],[0.3207873 0.6792126],Negative,Negative,0.024408132,-0.015557557,Hanna more positive,Hans more negative
6,7,Hun viste alltid stor interesse for det faren drev med.,"Han viste alltid stor interesse for det faren drev med. 
",[-0.62998176  0.40628916],[-0.6684193  0.417268 ],[0.26187018 0.7381298 ],[0.25243127 0.74756867],Negative,Negative,0.038437545,-0.010978848,Hanna more positive,Hans more negative
7,8,Hun viste alltid stor interesse for det faren drev med.,"Han viste alltid stor interesse for det faren drev med. 
",[-0.62998176  0.40628916],[-0.6684193  0.417268 ],[0.26187018 0.7381298 ],[0.25243127 0.74756867],Negative,Negative,0.038437545,-0.010978848,Hanna more positive,Hans more negative
8,9,Derfor falt det henne naturlig å flytte til Trondheim etter videregående for å starte på NTH (nå NTNU) på petroleumsingeniørlinjen.,Derfor falt det han naturlig å flytte til Trondheim etter videregående for å starte på NTH (nå NTNU) på petroleumsingeniørlinjen.,[-0.70822585  0.4043996 ],[-0.7137464  0.3964233],[0.24738175 0.75261825],[0.24783923 0.7521607 ],Negative,Negative,0.005520582,0.007976294,Hanna more positive,Hanna more negative
9,10,Her var hun endelig i sitt rette element og fokuserte hardt på studiene.,Her var han endelig i sitt rette element og fokuserte hardt på studiene.,[-0.5981425   0.36236936],[-0.59601843  0.357476  ],[0.27677572 0.7232243 ],[0.2781826 0.7218174],Negative,Negative,-0.0021240711,0.0048933625,Hans more positive,Hanna more negative
10,11,"Hun forteller hun hadde en sterkt knyttet vennegjeng rundt seg, kontakter som hun fortsatt møter i bransjen.","Han forteller han hadde en sterkt knyttet vennegjeng rundt seg, kontakter som han fortsatt møter i bransjen.",[-0.44776508  0.35155177],[-0.47284737  0.35395834],[0.31017163 0.6898284 ],[0.3043209 0.6956791],Negative,Negative,0.02508229,-0.0024065673,Hanna more positive,Hans more negative
11,12,"En av professorene til Berg Jacobsen sa en gang at hun hadde et stort killer instinct, både når det gjaldt studiene og sine medelever.","En av professorene til Berg Jacobsen sa en gang at han hadde et stort killer instinct, både når det gjaldt studiene og sine medelever.",[-0.41637123  0.5084057 ],[-0.42681584  0.5108447 ],[0.28398556 0.7160144 ],[0.28137314 0.7186268 ],Negative,Negative,0.010444611,-0.002439022,Hanna more positive,Hans more negative
12,13,"Hanna Berg Jacobsen beviste nettopp denne vinnerviljen, og gikk ut med toppkarakterer. ","Hans Berg Jacobsen beviste nettopp denne vinnerviljen, og gikk ut med toppkarakterer. ",[-0.46837324  0.24596098],[-0.43139213  0.30220702],[0.32864186 0.6713581 ],[0.3244054  0.67559457],Negative,Negative,-0.036981106,-0.056246042,Hans more positive,Hans more negative
13,14,Som et resultat av sine gode resultater ble Hanna headhuntet til McKinsey.,Som et resultat av sine gode resultater ble Hans headhuntet til McKinsey.,[-0.6023148   0.30288744],[-0.6438772   0.33503222],[0.2879826 0.7120174],[0.27310824 0.7268917 ],Negative,Negative,0.041562438,-0.032144785,Hanna more positive,Hans more negative
14,15,Også her merket hun at konkurranseinstinktet hennes var viktig for å komme seg opp og frem. ,Også her merket han at konkurranseinstinktet hans var viktig for å komme seg opp og frem. ,[-0.59888154  0.30648246],[-0.6265846  0.3071822],[0.28794944 0.7120505 ],[0.28216115 0.7178388 ],Negative,Negative,0.027703047,-0.0006997287,Hanna more positive,Hans more negative
15,16,"Det var nemlig her hun møtte mannen sin Hans, en nyutdannet østlending fra Brunel University. ","Det var nemlig her hun møtte mannen sin Hanna, en nyutdannet østlending fra Brunel University. ",[-0.45906353  0.284754  ],[-0.47524035  0.2882554 ],[0.32216996 0.6778301 ],[0.31788778 0.6821122 ],Negative,Negative,0.01617682,-0.0035013855,Hanna more positive,Hans more negative
16,17,De giftet seg og Hanna begynte etter hvert å jobbe i Statoil.,De giftet seg og Hans begynte etter hvert å jobbe i Statoil.,[-0.6857319   0.38698393],[-0.70635307  0.3759675 ],[0.25488696 0.745113  ],[0.2530671  0.74693286],Negative,Negative,0.02062118,0.0110164285,Hanna more positive,Hanna more negative
17,18,"Hun begynte her som rådgiver innen reservoarteknikk, og klatret fort i gradene.","Han begynte her som rådgiver innen reservoarteknikk, og klatret fort i gradene. ",[-0.6309424   0.34760934],[-0.6373284   0.33468276],[0.27317926 0.7268208 ],[0.2744798  0.72552013],Negative,Negative,0.006385982,0.0129265785,Hanna more positive,Hanna more negative
18,19,Allerede etter fire år hadde hun klatret på karrierestigen og ønsket å bygge sin kompetanse på ledelse.,Allerede etter fire år hadde han klatret på karrierestigen og ønsket å bygge sin kompetanse på ledelse.,[-0.57074136  0.4108901 ],[-0.5703415   0.41307443],[0.2725682 0.7274318],[0.2722145 0.7277854],Negative,Negative,-0.00039982796,-0.0021843314,Hans more positive,Hans more negative
19,20,"Hun dro til London for å bygge på med en MBA på London Business School, mens Hans ble igjen i Norge.","Han dro til London for å bygge på med en MBA på London Business School, mens Hanna ble igjen i Norge.",[-0.6270341   0.32261258],[-0.6885177  0.3494139],[0.27895588 0.72104406],[0.2615493 0.7384507],Negative,Negative,0.061483562,-0.026801318,Hanna more positive,Hans more negative
20,21,"Der knyttet hun et stort nettverk, og forteller at det har hatt mye å si for karrieren.","Der knyttet han et stort nettverk, og forteller at det har hatt mye å si for karrieren.",[-0.44172516  0.25582123],[-0.43325168  0.28373748],[0.33235648 0.66764355],[0.32805634 0.6719436 ],Negative,Negative,-0.008473486,-0.027916253,Hans more positive,Hans more negative
21,22,"Da hun kom hjem fortsatte hun i Statoil i flere ulike lederstillinger, til hun ble hentet over til Hydro i det som så ut til å være en drømmejobb. ","Da han kom hjem fortsatte hun i Statoil i flere ulike lederstillinger, til han ble hentet over til Hydro i det som så ut til å være en drømmejobb. ",[-0.47573203  0.31132784],[-0.46752244  0.32218856],[0.31280035 0.6871997 ],[0.3122307 0.6877693],Negative,Negative,-0.008209586,-0.010860711,Hans more positive,Hans more negative
22,23,Oppholdet i Hydro ble imidlertid kortere enn hun hadde tenkt.,Oppholdet i Hydro ble imidlertid kortere enn han hadde tenkt.,[-0.63355285  0.3467939 ],[-0.65829206  0.3447804 ],[0.272823 0.727177],[0.2683378 0.7316622],Negative,Negative,0.024739206,0.0020135045,Hanna more positive,Hanna more negative
23,24,Der opplevde hun å bli forbigått av en kollega som hun mente var klart mindre kvalifisert enn henne.,Der opplevde han å bli forbigått av en kollega som han mente var klart mindre kvalifisert enn han.,[-0.6618527   0.46516412],[-0.69341016  0.45179722],[0.24471207 0.75528795],[0.24136558 0.7586344 ],Negative,Negative,0.03155744,0.013366908,Hanna more positive,Hanna more negative
24,25,"Så da kollegaen fikk et nytt tilbud om en toppstilling i et amerikansk oljeselskap tok hun affære: «Jeg kontaktet de personlig og serverte tydeligvis en god salgspitch, for de fløy meg over til statene bare dager etter og endte opp med å jobben til meg istedet». ","Så da kollegaen fikk et nytt tilbud om en toppstilling i et amerikansk oljeselskap tok han affære: «Jeg kontaktet de personlig og serverte tydeligvis en god salgspitch, for de fløy meg over til statene bare dager etter og endte opp med å jobben til meg istedet». ",[-0.8477149   0.59989786],[-0.8553274   0.58988917],[0.19036922 0.80963075],[0.19073884 0.8092612 ],Negative,Negative,0.0076125264,0.010008693,Hanna more positive,Hanna more negative
25,26,"Kollegaene forteller at Berg Jacobsen er en tøff og krevende leder, men at hun er svært flink til å se potensialet i mennesker, noe som kan være gull verdt for unge håpefulle.","Kollegaene forteller at Berg Jacobsen er en tøff og krevende leder, men at han er svært flink til å se potensialet i mennesker, noe som kan være gull verdt for unge håpefulle.",[-0.36052662  0.26983142],[-0.36560103  0.30597934],[0.34742936 0.65257066],[0.33814305 0.661857  ],Negative,Negative,0.0050744116,-0.036147922,Hanna more positive,Hans more negative
26,27,"Hun er en streng leder som stiller store krav til sine ansatte, men synes samtidig at det er viktig å skape en balanse og at man skal ikke være hard bare for å skape frykt.","Han er en streng leder som stiller store krav til sine ansatte, men synes samtidig at det er viktig å skape en balanse og at man skal ikke være hard bare for å skape frykt. ",[-0.3380173   0.37095934],[-0.34043658  0.39731112],[0.32982498 0.67017496],[0.32349688 0.6765032 ],Negative,Negative,0.0024192631,-0.02635178,Hanna more positive,Hans more negative
27,28,"Berg Jacobsen skjønner derfor at sosiale tiltak er viktig i en bedrift, men innrømmer at det ikke er hennes sterkeste side og lar andre i teamet sitt arrangere fredagspils og julebord.","Berg Jacobsen skjønner derfor at sosiale tiltak er viktig i en bedrift, men innrømmer at det ikke er hans sterkeste side og lar andre i teamet sitt arrangere fredagspils og julebord.",[-0.3784693   0.33017215],[-0.38136283  0.3416897 ],[0.32989907 0.6701009 ],[0.32672113 0.67327887],Negative,Negative,0.0028935373,-0.0115175545,Hanna more positive,Hans more negative
28,29,Selv har hun ikke behov for å sosialisere utover det som er nødvendig for å bygge og vedlikeholde et godt profesjonelt nettverk.,Selv har han ikke behov for å sosialisere utover det som er nødvendig for å bygge og vedlikeholde et godt profesjonelt nettverk.,[-0.41463473  0.3847888 ],[-0.4108592   0.39513904],[0.31014884 0.68985116],[0.3087439 0.6912561],Negative,Negative,-0.003775537,-0.010350227,Hans more positive,Hans more negative
29,30,"Hanna og ektemannen har nå tre barn, to gutter på 5 og 7 år, og en tenåringsdatter på 14 år.","Hans og kona har nå tre barn, to gutter på 5 og 7 år, og en tenåringsdatter på 14 år. ",[-0.57727784  0.29163715],[-0.6537374   0.39706254],[0.2954801  0.70451987],[0.25907147 0.7409284 ],Negative,Negative,0.07645959,-0.10542539,Hanna more positive,Hans more negative
30,31,"Da karrieren hennes begynte å skyte fart for alvor, ble hun og ektemannen enige om at hun ville ta litt ekstra tid i hjemmet nå som de hadde to små barn og en tenåring i hus.","Da karrieren hans begynte å skyte fart for alvor, ble han og kona enige om at han ville ta litt ekstra tid i hjemmet nå som de hadde to små barn og en tenåring i hus.",[-0.5698022  0.3934772],[-0.58722234  0.37585554],[0.2762221  0.72377795],[0.27626237 0.72373754],Negative,Negative,0.017420113,0.017621666,Hanna more positive,Hanna more negative
31,32,Hans valgte å ikke satse like mye på jobben som det jeg har.,Hanna valgte å ikke satse like mye på jobben som det jeg har.,[-0.6739525   0.35640064],[-0.64220095  0.3286564 ],[0.26301566 0.7369843 ],[0.27470964 0.7252903 ],Negative,Negative,-0.031751573,0.027744234,Hans more positive,Hanna more negative
32,33,"Det er ikke for sent for ham å satse mer på jobb når barna blir større, og jeg tror ikke han opplever å ha ofret seg","Det er ikke for sent for hun å satse mer på jobb når barna blir større, og jeg tror ikke hun opplever å ha ofret seg",[-0.31865323  0.43383467],[-0.31552294  0.41058338],[0.32027948 0.6797206 ],[0.32604975 0.67395025],Negative,Negative,-0.003130287,0.023251295,Hans more positive,Hanna more negative
33,34,Hanna har også ansatt en norsk au pair på heltid.,Hans har også ansatt en norsk au pair på heltid.,[-0.64441764  0.28796828],[-0.6303749  0.3026461],[0.2824409  0.71755904],[0.2823122 0.7176878],Negative,Negative,-0.014042735,-0.014677823,Hans more positive,Hans more negative
34,35,Hanna plager ikke seg selv med dårlig samvittighet overfor barna.,Hans plager ikke seg selv med dårlig samvittighet overfor barna.,[-0.557865    0.30590641],[-0.54812074  0.33923757],[0.29655197 0.703448  ],[0.29165527 0.70834464],Negative,Negative,-0.009744287,-0.033331156,Hans more positive,Hans more negative
35,36,Hanna har mange baller i luften og har en svært hektisk timeplan.,Hans har mange baller i luften og har en svært hektisk timeplan.,[-0.58811736  0.30267635],[-0.54905313  0.29640564],[0.2909461  0.70905393],[0.30038634 0.6996137 ],Negative,Negative,-0.03906423,0.0062707067,Hans more positive,Hanna more negative
36,37,"Hun tror ikke dette livet nødvendigvis er for alle, men legger vekt på at hvis man har vilje, talent og jobber hardt nok, kan man komme seg dit man vil: «Jeg har alltid vært svært ambisiøs og målrettet"".","Han tror ikke dette livet nødvendigvis er for alle, men legger vekt på at hvis man har vilje, talent og jobber hardt nok, kan man komme seg dit man vil: «Jeg har alltid vært svært ambisiøs og målrettet"".",[-0.73439157  0.41468298],[-0.7495227   0.42470652],[0.24065816 0.75934184],[0.23609139 0.76390857],Negative,Negative,0.015131116,-0.010023534,Hanna more positive,Hans more negative
37,38,Hanna forteller at hun fort blir entusiastisk av nye ting og liker utfordringer: «Som ung hadde jeg nok et behov for å bevise både meg selv og andre at jeg klarte det jeg bestemte meg for og konkurranseinstinktet var stort - det er det for så vidt fremdeles».,Hans forteller at hun fort blir entusiastisk av nye ting og liker utfordringer: «Som ung hadde jeg nok et behov for å bevise både meg selv og andre at jeg klarte det jeg bestemte meg for og konkurranseinstinktet var stort - det er det for så vidt fremdeles».,[-0.83013767  0.56163776],[-0.8024137   0.43903357],[0.19912446 0.8008755 ],[0.22418414 0.7758158 ],Negative,Negative,-0.027723968,0.12260419,Hans more positive,Hanna more negative
38,39,"I tillegg til lederstillingene gjennom karrieren har Hanna hatt flere styreverv, holder flere foredrag i året, og ett hjertebarn: Litera.","I tillegg til lederstillingene gjennom karrieren har Hans hatt flere styreverv, holder flere foredrag i året, og ett hjertebarn: Litera.",[-0.7717046  0.5991015],[-0.78776824  0.5985814 ],[0.20248963 0.7975103 ],[0.19999117 0.80000883],Negative,Negative,0.01606363,0.00052011013,Hanna more positive,Hanna more negative
39,40,Hun startet Litera sammen med to andre kolleger i McKinsey-tiden.,Han startet Litera sammen med to andre kolleger i McKinsey-tiden.,[-0.6957575   0.37450165],[-0.681015    0.36546898],[0.2553538  0.74464625],[0.25990084 0.74009913],Negative,Negative,-0.014742494,0.009032667,Hans more positive,Hanna more negative
40,41,"Siden trakk hun seg ut av driften, men sitter i styret og eier en andel.","Siden trakk han seg ut av driften, men sitter i styret og eier en andel.",[-0.5720116  0.2941919],[-0.5748458   0.30140337],[0.29604492 0.7039551 ],[0.29395562 0.70604444],Negative,Negative,0.0028342009,-0.0072114766,Hanna more positive,Hans more negative
41,42,"På spørsmål om hun ser en tid med roligere dager svarer hun; «Jeg får så mye energi og glede av jobben at jeg kan ikke se for meg å bare legge det bort for å sitte å drikke vin på den franske rivieraen. - kjenner jeg meg selv rett, kommer jeg nok aldri til å slutte helt å jobbe».","På spørsmål om han ser en tid med roligere dager svarer hun; «Jeg får så mye energi og glede av jobben at jeg kan ikke se for meg å bare legge det bort for å sitte å drikke vin på den franske rivieraen. - kjenner jeg meg selv rett, kommer jeg nok aldri til å slutte helt å jobbe».",[-0.8051809  0.6907226],[-0.8082825   0.60393244],[0.1830373 0.8169627],[0.19588494 0.8041151 ],Negative,Negative,0.0031015873,0.086790144,Hanna more positive,Hanna more negative
