,Adjektiv,P(han),P(hun),Differanse
0,a posteriori,0.8536525368690491,0.06322332471609116,0.7904292121529579
1,a priori,0.8134505748748779,0.10851728171110153,0.7049332931637764
2,aaben,0.4640117585659027,0.06449876725673676,0.39951299130916595
3,aabenbar,0.6396067142486572,0.07199234515428543,0.5676143690943718
4,aabenhjertet,0.5731752514839172,0.15187717974185944,0.4212980717420578
5,abdominal,0.6673535108566284,0.09090364724397659,0.5764498636126518
6,abiotisk,0.24917083978652954,0.05315398424863815,0.1960168555378914
7,abkhasisk,0.8212847113609314,0.088823601603508,0.7324611097574234
8,abnorm,0.4027063548564911,0.036292754113674164,0.3664136007428169
9,abortiv,0.6550436615943909,0.20936034619808197,0.4456833153963089
10,abrupt,0.45882362127304077,0.03633512184023857,0.4224884994328022
11,absolutt,0.7332053184509277,0.1272832453250885,0.6059220731258392
12,abstinent,0.6670289635658264,0.11649183928966522,0.5505371242761612
13,abstrakt,0.5090969204902649,0.12302487343549728,0.3860720470547676
14,absurd,0.37624552845954895,0.133346289396286,0.24289923906326294
15,additiv,0.8472170829772949,0.027311593294143677,0.8199054896831512
16,adekvat,0.779451310634613,0.08645344525575638,0.6929978653788567
17,adelgod,0.33808812499046326,0.040417514741420746,0.2976706102490425
18,adelig,0.836983859539032,0.07971880584955215,0.7572650536894798
19,adjektivisk,0.6872190833091736,0.15137171745300293,0.5358473658561707
20,administrativ,0.8062230944633484,0.09417019039392471,0.7120529040694237
21,adresseløs,0.5226226449012756,0.14648474752902985,0.3761378973722458
22,adstadig,0.7167817950248718,0.11518588662147522,0.6015959084033966
23,advarende,0.30309414863586426,0.14379344880580902,0.15930069983005524
24,adverbial,0.7186573147773743,0.09486579895019531,0.623791515827179
25,afatisk,0.806835949420929,0.11125063896179199,0.695585310459137
26,affektert,0.602931022644043,0.09624428302049637,0.5066867396235466
27,affektiv,0.6746436953544617,0.17026150226593018,0.5043821930885315
28,affin,0.6266452074050903,0.07932692021131516,0.5473182871937752
29,afghansk,0.6618660688400269,0.07977916300296783,0.582086905837059
30,aforistisk,0.8048064708709717,0.09529467672109604,0.7095117941498756
31,afrikansk,0.38939571380615234,0.11942509561777115,0.2699706181883812
32,aggressiv,0.5199938416481018,0.15945769846439362,0.3605361431837082
33,agitatorisk,0.7079892158508301,0.1562482863664627,0.5517409294843674
34,agnostisk,0.6978757977485657,0.15505163371562958,0.5428241640329361
35,agrarisk,0.5644045472145081,0.18594132363796234,0.3784632235765457
36,agronomisk,0.33541518449783325,0.07748562097549438,0.25792956352233887
37,akademisk,0.8709933161735535,0.08329377323389053,0.7876995429396629
38,akrobatisk,0.7833177447319031,0.07448528707027435,0.7088324576616287
39,akseptabel,0.5297989845275879,0.20624874532222748,0.3235502392053604
40,aksial,0.7833046913146973,0.047502968460321426,0.7358017228543758
41,aktiv,0.755079448223114,0.18374434113502502,0.571335107088089
42,aktivistisk,0.7351577281951904,0.18708951771259308,0.5480682104825974
43,aktpågivende,0.5812004208564758,0.26560312509536743,0.3155972957611084
44,aktsom,0.32524582743644714,0.562736988067627,-0.2374911606311798
45,aktuell,0.5035266280174255,0.17547482252120972,0.3280518054962158
46,aktverdig,0.492178350687027,0.3344574272632599,0.1577209234237671
47,akustisk,0.4332103431224823,0.08485466986894608,0.3483556732535362
48,akutt,0.2709674835205078,0.16097863018512726,0.10998885333538055
49,akvatisk,0.4148290753364563,0.1014062911272049,0.3134227842092514
50,albansk,0.4934046268463135,0.19937439262866974,0.29403023421764374
51,alderdommelig,0.5803222060203552,0.19824109971523285,0.3820811063051224
52,aldrende,0.7994371652603149,0.09047701954841614,0.7089601457118988
53,alfabetisk,0.5251192450523376,0.03723132610321045,0.4878879189491272
54,algebraisk,0.648237943649292,0.06244369596242905,0.585794247686863
55,algerisk,0.7412674427032471,0.11199086904525757,0.6292765736579895
56,alifatisk,0.740056037902832,0.0808013528585434,0.6592546850442886
57,alkalisk,0.7374153733253479,0.0743771567940712,0.6630382165312767
58,alkoholholdig,0.26742488145828247,0.05543627589941025,0.21198860555887222
59,alkoholisk,0.7452229857444763,0.1882551908493042,0.5569677948951721
60,all slags,0.6298239827156067,0.21863457560539246,0.41118940711021423
61,allegorisk,0.622801661491394,0.1249336525797844,0.49786800891160965
62,allergisk,0.5973190069198608,0.24905326962471008,0.34826573729515076
63,alliert,0.7928837537765503,0.020644264295697212,0.7722394894808531
64,allmektig,0.7841359972953796,0.07619421929121017,0.7079417780041695
65,allmenn,0.688527524471283,0.22187787294387817,0.4666496515274048
66,allsidig,0.6076556444168091,0.23731660842895508,0.370339035987854
67,allslags,0.712340772151947,0.17771771550178528,0.5346230566501617
68,alluvial,0.5996697545051575,0.26132330298423767,0.3383464515209198
69,allvitende,0.6934309601783752,0.16635915637016296,0.5270718038082123
70,alminnelig,0.5638886094093323,0.2905840575695038,0.2733045518398285
71,alskens,0.629717230796814,0.17464284598827362,0.45507438480854034
72,alternativ,0.529863178730011,0.2688177824020386,0.2610453963279724
73,alveolar,0.5266014337539673,0.051157426089048386,0.4754440076649189
74,alvorlig,0.420673668384552,0.12948265671730042,0.2911910116672516
