,Unnamed: 0,Adjektiv,P(han),P(hun),Differanse
979,979,nordenfjelsk,0.7433831691741943,0.0222362224012613,0.721146946772933
978,978,nordafjelsk,0.7162975072860718,0.0417070351541042,0.6745904721319675
1644,1644,vestlandsk,0.6588261723518372,0.0388147160410881,0.620011456310749
166,166,bergensk,0.6436430215835571,0.0431303605437278,0.6005126610398293
1013,1013,omansk,0.6367908716201782,0.0442576371133327,0.5925332345068455
55,55,algerisk,0.6418212652206421,0.058255948126316,0.583565317094326
1692,1692,østre,0.6269611716270447,0.047324001789093,0.5796371698379517
366,366,fattigslig,0.6295198202133179,0.050909012556076,0.5786108076572418
1385,1385,søndre,0.5978664755821228,0.0295584984123706,0.5683079771697521
365,365,fattigfin,0.6180324554443359,0.0579416491091251,0.5600908063352108
1645,1645,vestre,0.6190929412841797,0.0595773719251155,0.5595155693590641
980,980,nordlandsk,0.6031428575515747,0.0457499548792839,0.5573929026722908
879,879,lærd,0.5668249130249023,0.0147599456831812,0.5520649673417211
513,513,gild,0.5697965621948242,0.0231685619801282,0.5466280002146959
7,7,abkhasisk,0.6006288528442383,0.0548574067652225,0.5457714460790157
116,116,aserbajdsjansk,0.6114997267723083,0.0776746943593025,0.5338250324130058
609,609,huslaus,0.5466601252555847,0.0187711045145988,0.5278890207409859
127,127,austre,0.5696883201599121,0.0435362681746482,0.5261520519852638
1389,1389,sørlandsk,0.5781533122062683,0.0528538152575492,0.525299496948719
1407,1407,tasmansk,0.5558452010154724,0.0337076857686042,0.5221375152468681
982,982,nordre,0.5957069993019104,0.074970819056034,0.5207361802458763
17,17,adelgod,0.5308444499969482,0.0108315804973244,0.5200128694996238
972,972,nesegrus,0.6106752753257751,0.094635434448719,0.5160398408770561
1691,1691,østlandsk,0.5736933946609497,0.0619182437658309,0.5117751508951187
1338,1338,stridlynt,0.5996128916740417,0.091107428073883,0.5085054636001587
901,901,markinsk,0.540330171585083,0.0425275824964046,0.4978025890886783
817,817,kurdisk,0.5839676260948181,0.0903057157993316,0.4936619102954864
364,364,fattig,0.5340567827224731,0.0475344993174076,0.4865222834050655
1415,1415,thailandsk,0.6022352576255798,0.1168339475989341,0.4854013100266456
1040,1040,orknøysk,0.4840869903564453,0.0118088638409972,0.4722781265154481
690,690,jemenittisk,0.5075710415840149,0.0362745858728885,0.4712964557111263
374,374,fennoskandisk,0.5366731286048889,0.0733275488018989,0.4633455798029899
50,50,albansk,0.5493637323379517,0.0877420753240585,0.4616216570138931
354,354,falklandsk,0.4947603940963745,0.0355875343084335,0.459172859787941
1297,1297,snøgg,0.4933081865310669,0.0352850668132305,0.4580231197178364
1649,1649,vidløftig,0.48425954580307,0.0282410457730293,0.4560185000300407
1394,1394,tadsjikisk,0.5649722814559937,0.1095473244786262,0.4554249569773674
610,610,husløs,0.5180728435516357,0.0643322467803955,0.4537405967712402
1464,1464,tsjadisk,0.5135441422462463,0.0630246102809906,0.4505195319652557
1077,1077,pennsylvansk,0.4932806193828583,0.0434232465922832,0.449857372790575
239,239,dansk,0.5054003000259399,0.0587289966642856,0.4466713033616543
1470,1470,turkmensk,0.5133870244026184,0.0671621412038803,0.4462248831987381
485,485,færøysk,0.4764699935913086,0.0387895070016384,0.4376804865896702
231,231,burkinsk,0.5623751282691956,0.1281885057687759,0.4341866225004196
892,892,malayisk,0.4904924035072326,0.0606648735702037,0.4298275299370289
921,921,militær,0.5007055401802063,0.0719829797744751,0.4287225604057312
900,900,maritim,0.5439600944519043,0.1187202259898185,0.4252398684620857
36,36,agronomisk,0.5284755229949951,0.1047630161046981,0.4237125068902969
438,438,forstandig,0.519636332988739,0.0961162745952606,0.4235200583934784
261,261,djerv,0.4597821831703186,0.0365039370954036,0.4232782460749149
18,18,adelig,0.4416797459125519,0.0209237597882747,0.4207559861242771
1386,1386,sørafrikansk,0.5100575089454651,0.090768463909626,0.4192890450358391
232,232,bymessig,0.4580086469650268,0.0404338650405406,0.4175747819244861
981,981,nordnorsk,0.5201943516731262,0.103126011788845,0.4170683398842811
29,29,afghansk,0.5330449938774109,0.1183348074555397,0.4147101864218712
343,343,estlandsk,0.5055587291717529,0.0919472053647041,0.4136115238070488
495,495,gammal,0.4653884768486023,0.0530650317668914,0.4123234450817108
942,942,muhammedansk,0.4521577656269073,0.0440068356692791,0.4081509299576282
496,496,gammel,0.4846110641956329,0.0830030590295791,0.4016080051660537
733,733,kjip,0.4420868158340454,0.0418185703456401,0.4002682454884052
110,110,armensk,0.4701489508152008,0.0725051164627075,0.3976438343524933
308,308,elektromekanisk,0.4484000504016876,0.0518372617661953,0.3965627886354923
1061,1061,papuansk,0.4569069743156433,0.0603555925190448,0.3965513817965984
796,796,kriminell,0.5393465757369995,0.1441827416419983,0.3951638340950012
1478,1478,tyrkisk,0.468671977519989,0.0753261744976043,0.3933458030223846
1526,1526,ugift,0.4749504923820495,0.0825055316090583,0.3924449607729912
1395,1395,tagal,0.511372447013855,0.1193151473999023,0.3920572996139526
1003,1003,nøysom,0.4452542960643768,0.0543772764503955,0.3908770196139812
295,295,eksplosiv,0.5014082193374634,0.1117812842130661,0.3896269351243973
1532,1532,ugudelig,0.4316462576389313,0.0435301251709461,0.3881161324679851
684,684,israelsk,0.4666576385498047,0.078548215329647,0.3881094232201576
1225,1225,serbokroatisk,0.4582034349441528,0.0704936981201171,0.3877097368240356
1231,1231,simpel,0.4553797543048858,0.0688438490033149,0.3865359053015709
333,333,entomologisk,0.4465679824352264,0.0614544451236724,0.3851135373115539
1434,1434,topologisk,0.4173488318920135,0.0325236991047859,0.3848251327872276
1471,1471,tuvalsk,0.4154108762741089,0.0313263535499572,0.3840845227241516
1059,1059,panamansk,0.4114043116569519,0.0277541298419237,0.3836501818150282
340,340,esoterisk,0.4306989908218384,0.0474882796406745,0.3832107111811638
701,701,kambodsjansk,0.5201870799064636,0.1380520015954971,0.3821350783109665
527,527,glupsk,0.3987997174263,0.0184209235012531,0.3803787939250469
1224,1224,serbisk,0.4826031625270843,0.1023702919483184,0.3802328705787658
1397,1397,taiwansk,0.4831428825855255,0.1031719148159027,0.3799709677696228
479,479,fus,0.492950975894928,0.113267183303833,0.3796837925910949
321,321,enfoldig,0.4384368658065796,0.0603981800377368,0.3780386857688427
218,218,bretonsk,0.3947033882141113,0.017803855240345,0.3768995329737663
1127,1127,qatarsk,0.4842858016490936,0.108023427426815,0.3762623742222786
648,648,indonesisk,0.4696919023990631,0.0938512533903122,0.3758406490087509
120,120,astrologisk,0.4257070124149322,0.0506188683211803,0.3750881440937519
831,831,laotisk,0.5056076049804688,0.1325071007013321,0.3731005042791366
300,300,ekstrem,0.5203139185905457,0.1480855196714401,0.3722283989191055
1075,1075,pengelens,0.4497296810150146,0.0799605175852775,0.3697691634297371
575,575,hebraisk,0.3905827403068542,0.0222980622202157,0.3682846780866384
1468,1468,tunisisk,0.4364069700241089,0.0683611705899238,0.368045799434185
1113,1113,puertoricansk,0.3973987102508545,0.0297328494489192,0.3676658608019352
1025,1025,oppegående,0.5454745888710022,0.177915409207344,0.3675591796636581
1574,1574,urugayansk,0.4385543465614319,0.0712921097874641,0.3672622367739677
670,670,interstellar,0.4305285215377807,0.0638065487146377,0.366721972823143
1372,1372,sydlig,0.4731755256652832,0.1075337305665016,0.3656417950987816
1510,1510,ufarlig,0.478293240070343,0.1151484698057174,0.3631447702646255
83,83,anglikansk,0.378208726644516,0.0152049781754612,0.3630037484690547
1476,1476,tynn,0.4398643970489502,0.0786695331335067,0.3611948639154434
915,915,mesopotamisk,0.4026685059070587,0.0417148806154727,0.3609536252915859
820,820,kvart,0.4161315858364105,0.0556589402258396,0.3604726456105709
1021,1021,omtenksom,0.4348116517066955,0.0744875967502594,0.3603240549564361
925,925,mistenksom,0.4840924143791199,0.1261667609214782,0.3579256534576416
1368,1368,svensk,0.4643628895282745,0.1074570268392562,0.3569058626890182
1142,1142,ravgul,0.4051127433776855,0.0512525029480457,0.3538602404296398
1252,1252,skandinavisk,0.3941047191619873,0.0421746857464313,0.3519300334155559
35,35,agrarisk,0.4101486802101135,0.0593958832323551,0.3507527969777584
455,455,fredlig,0.4374612867832184,0.0874937549233436,0.3499675318598747
383,383,finsk,0.4782600700855255,0.1293621212244033,0.3488979488611221
1445,1445,trang,0.4280184209346771,0.0791462287306785,0.3488721922039985
534,534,godslig,0.3990123271942138,0.0504224970936775,0.3485898301005363
227,227,bråkjekk,0.4544002115726471,0.1066600903868675,0.3477401211857795
69,69,allvitende,0.4194244742393493,0.0719951838254928,0.3474292904138565
454,454,fredelig,0.4260666370391845,0.0819845795631408,0.3440820574760437
34,34,agnostisk,0.3750340938568115,0.0318926125764846,0.3431414812803268
105,105,arealmessig,0.4934335350990295,0.1514701247215271,0.3419634103775024
537,537,godtroende,0.4473407864570617,0.1070117801427841,0.3403290063142776
451,451,framgangsrik,0.3865231275558471,0.0467819459736347,0.3397411815822124
1016,1016,omgjengelig,0.4668801128864288,0.1275638043880462,0.3393163084983825
1076,1076,pennsylvaniatysk,0.3924277722835541,0.0536153241991996,0.3388124480843544
1607,1607,vanfør,0.4546991884708404,0.1170731261372566,0.3376260623335838
586,586,herskapelig,0.3858844041824341,0.0491336733102798,0.3367507308721542
1042,1042,oseanisk,0.3887684047222137,0.0538592226803302,0.3349091820418834
1623,1623,vassen,0.436436265707016,0.1021966859698295,0.3342395797371864
1479,1479,tysk,0.4225224256515503,0.0886181443929672,0.333904281258583
669,669,internasjonal,0.4269061386585235,0.0931990444660186,0.3337070941925049
1057,1057,pakistansk,0.4738920032978058,0.1409556716680526,0.3329363316297531
871,871,lutheransk,0.3959096074104309,0.0646031722426414,0.3313064351677894
1358,1358,sumerisk,0.3614830672740936,0.0318098254501819,0.3296732418239116
497,497,gammeldags,0.4055263102054596,0.0770822539925575,0.328444056212902
1396,1396,taiwanesisk,0.4181624948978424,0.0903666540980339,0.3277958407998085
1608,1608,vanhellig,0.3616620302200317,0.034797366708517,0.3268646635115146
324,324,engelsk,0.3771793246269226,0.0506348125636577,0.3265445120632648
800,800,kroatisk,0.4476261436939239,0.1220664680004119,0.3255596756935119
1543,1543,ulovlig,0.4718177318572998,0.1468914747238159,0.3249262571334839
1572,1572,urindoeuropeisk,0.4550632536411285,0.1305749118328094,0.3244883418083191
949,949,måteholden,0.3901089429855346,0.0673367008566856,0.322772242128849
1487,1487,ualminnelig,0.3567751049995422,0.0345810316503047,0.3221940733492374
1159,1159,rik,0.3403205871582031,0.0210298337042331,0.3192907534539699
1114,1114,puertorikansk,0.3677022755146026,0.0486517027020454,0.3190505728125572
1431,1431,togolesisk,0.409709483385086,0.0930912792682647,0.3166182041168213
1437,1437,torsjonal,0.3413505256175995,0.0261104386299848,0.3152400869876146
1174,1174,russisk,0.4603700041770935,0.145177736878395,0.3151922672986984
1058,1058,palauisk,0.3447019159793854,0.0298490636050701,0.3148528523743152
499,499,gasta,0.3878153562545776,0.0735848471522331,0.3142305091023445
1099,1099,possessiv,0.3676415383815765,0.0534323081374168,0.3142092302441597
1118,1118,pyreneisk,0.3347638249397278,0.0206596255302429,0.3141041994094848
621,621,høgferdig,0.3956212699413299,0.0819078534841537,0.3137134164571762
685,685,italiensk,0.3807589113712311,0.067879781126976,0.312879130244255
1069,1069,patagonsk,0.3235093653202057,0.0117026222869753,0.3118067430332303
1259,1259,skinnbarlig,0.3438675701618194,0.0331168696284294,0.31075070053339
984,984,nordtysk,0.3956563472747803,0.0856580510735511,0.3099982962012291
1092,1092,polemisk,0.4035018682479858,0.0948173329234123,0.3086845353245735
403,403,florlett,0.3577869236469269,0.0502282120287418,0.307558711618185
