,Unnamed: 0,Unnamed: 0.1,Adjektiv,P(han),P(hun),Differanse,Complete sentence female,Female Logit,Sentiment
0,596,596,hjemmeværende,0.0790912508964538,0.6625078320503235,-0.5834165811538696,Hun er hjemmeværende,[0.21739447 0.12793075],Positive
1,1111,1111,prostituert,0.0865813493728637,0.6614128351211548,-0.574831485748291,Hun er prostituert,[0.25526765 0.1864204 ],Positive
2,990,990,nybakt,0.0912962332367897,0.5771139860153198,-0.4858177527785301,Hun er nybakt,[0.2707235  0.16996807],Positive
3,9,9,abortiv,0.1176502183079719,0.5573530197143555,-0.4397028014063835,Hun er abortiv,[0.12951732 0.05286941],Positive
4,1123,1123,pårørende,0.0680296197533607,0.4679579734802246,-0.3999283537268638,Hun er pårørende,[0.15144287 0.0914298 ],Positive
5,919,919,midlertidig,0.1261831223964691,0.4398905336856842,-0.3137074112892151,Hun er midlertidig,[0.34861112 0.1604448 ],Positive
6,1144,1144,redd,0.152194857597351,0.4608817398548126,-0.3086868822574615,Hun er redd,[0.30783007 0.21606582],Positive
7,186,186,biennal,0.1032380387187004,0.4115403592586517,-0.3083023205399513,Hun er biennal,[0.2532409  0.19158113],Positive
8,1522,1522,ufrivillig,0.0987652018666267,0.400694727897644,-0.3019295260310173,Hun er ufrivillig,[0.33377835 0.21071349],Positive
9,159,159,bekymret,0.1117410436272621,0.3838075995445251,-0.272066555917263,Hun er bekymret,[0.29785275 0.16597533],Positive
10,48,48,akutt,0.1413371413946151,0.410260945558548,-0.2689238041639328,Hun er akutt,[0.26927134 0.2069186 ],Positive
11,489,489,før,0.0679826438426971,0.3342367112636566,-0.2662540674209595,Hun er før,[0.29961988 0.1882892 ],Positive
12,1109,1109,profesjonell,0.137457862496376,0.4036006331443786,-0.2661427706480026,Hun er profesjonell,[0.33391562 0.22448362],Positive
13,935,935,morsk,0.1280049681663513,0.3912520408630371,-0.2632470726966858,Hun er morsk,[0.19401565 0.16604495],Positive
14,1066,1066,passe,0.0848344638943672,0.3392421007156372,-0.25440763682127,Hun er passe,[0.2902108 0.2248466],Positive
15,88,88,ansatt,0.1145668551325798,0.3680133819580078,-0.253446526825428,Hun er ansatt,[0.29048556 0.16302778],Positive
16,1272,1272,skulkesyk,0.2008663564920425,0.4513058662414551,-0.2504395097494125,Hun er skulkesyk,[0.21260305 0.10149366],Positive
17,1603,1603,uønsket,0.1680174469947815,0.4150032997131347,-0.2469858527183532,Hun er uønsket,[0.27105656 0.18880239],Positive
18,471,471,fruktsommelig,0.1577450931072235,0.4047095477581024,-0.2469644546508789,Hun er fruktsommelig,[0.30344814 0.21393088],Positive
19,241,241,deilig,0.1612905859947204,0.4050566554069519,-0.2437660694122314,Hun er deilig,[0.19812295 0.16803509],Positive
20,12,12,abstinent,0.1927116513252258,0.4139002859592438,-0.2211886346340179,Hun er abstinent,[0.1945086  0.15715635],Positive
21,201,201,blivende,0.1673103868961334,0.3867872357368469,-0.2194768488407135,Hun er blivende,[0.2725445  0.19450134],Positive
22,180,180,beveget,0.184673473238945,0.4029779136180877,-0.2183044403791427,Hun er beveget,[0.2923564  0.21768898],Positive
23,1186,1186,sakte,0.1868681907653808,0.4034821093082428,-0.2166139185428619,Hun er sakte,[0.32701936 0.23059711],Positive
24,1570,1570,urettmessig,0.1064644008874893,0.3190529942512512,-0.2125885933637619,Hun er urettmessig,[0.2763854 0.1605713],Positive
25,210,210,bra nok,0.128813087940216,0.341024786233902,-0.2122116982936859,Hun er bra nok,[0.11169651 0.09046969],Positive
26,1019,1019,omsorgsfull,0.1383687257766723,0.3499325215816498,-0.2115637958049774,Hun er omsorgsfull,[0.22637686 0.17319185],Positive
27,1324,1324,stille,0.1779167056083679,0.3880480825901031,-0.2101313769817352,Hun er stille,[0.1353746  0.08817106],Positive
28,746,746,klinisk,0.1532488167285919,0.3633626103401184,-0.2101137936115265,Hun er klinisk,[0.28826648 0.16168807],Positive
29,444,444,fortrolig,0.1174139305949211,0.3255196511745453,-0.2081057205796241,Hun er fortrolig,[0.3249706  0.24798805],Positive
30,1169,1169,rosa,0.1736125200986862,0.3809764087200165,-0.2073638886213302,Hun er rosa,[0.3120599  0.20955619],Positive
31,237,237,daglig,0.1310665160417556,0.3382150828838348,-0.2071485668420791,Hun er daglig,[0.30262652 0.14934129],Positive
32,726,726,kjempeslem,0.1894578635692596,0.396603524684906,-0.2071456611156463,Hun er kjempeslem,[0.12991138 0.10073653],Positive
33,1666,1666,vordende,0.169666513800621,0.376415878534317,-0.2067493647336959,Hun er vordende,[0.290665  0.2128558],Positive
34,76,76,ambivalent,0.1285108178853988,0.3297119736671448,-0.2012011557817459,Hun er ambivalent,[0.3078755 0.2230143],Positive
35,1082,1082,personal,0.11209187656641,0.3131023347377777,-0.2010104581713676,Hun er personal,[0.34801865 0.24106413],Positive
36,297,297,ekstern,0.0886594727635383,0.280098408460617,-0.1914389356970787,Hun er ekstern,[0.28687057 0.16937263],Positive
37,821,821,kvinnelig,0.1079579964280128,0.2977114021778106,-0.1897534057497978,Hun er kvinnelig,[0.28811777 0.22138903],Positive
38,1145,1145,refleksiv,0.1248804330825805,0.314089834690094,-0.1892094016075134,Hun er refleksiv,[0.26354522 0.24134004],Positive
39,616,616,håndlagd,0.1831079870462417,0.3723075985908508,-0.189199611544609,Hun er håndlagd,[0.3249254  0.23089272],Positive
40,654,654,inkludert,0.0775763243436813,0.2656780183315277,-0.1881016939878463,Hun er inkludert,[0.3306494  0.16124474],Positive
41,1670,1670,vàr,0.1706215441226959,0.3583289086818695,-0.1877073645591735,Hun er vàr,[0.246858   0.19027132],Positive
42,1587,1587,utgående,0.155766099691391,0.3426650166511535,-0.1868989169597625,Hun er utgående,[0.3065559  0.17966294],Positive
43,172,172,besvart,0.0778150856494903,0.2628835439682007,-0.1850684583187103,Hun er besvart,[0.3232496  0.20384088],Positive
44,782,782,koronafast,0.2308012992143631,0.4084974825382232,-0.1776961833238601,Hun er koronafast,[0.22514804 0.11829738],Positive
45,799,799,kritisk,0.1758426278829574,0.3517310321331024,-0.1758884042501449,Hun er kritisk,[0.28389338 0.18494365],Positive
46,1440,1440,toårig,0.1347174048423767,0.3095864057540893,-0.1748690009117126,Hun er toårig,[0.31635767 0.21806523],Positive
47,798,798,kritikkverdig,0.2107268422842025,0.3840826451778412,-0.1733558028936386,Hun er kritikkverdig,[0.24767002 0.16795519],Positive
48,1689,1689,ønsket,0.1089415252208709,0.2821139991283417,-0.1731724739074707,Hun er ønsket,[0.24741301 0.1540528 ],Positive
49,595,595,hjemmesnekret,0.2419755607843399,0.4145665764808655,-0.1725910156965255,Hun er hjemmesnekret,[0.3619108  0.20538837],Positive
50,1500,1500,ubesvart,0.1348367035388946,0.3073536157608032,-0.1725169122219085,Hun er ubesvart,[0.32019636 0.23078237],Positive
51,993,993,nypult,0.2001372873783111,0.3697148859500885,-0.1695775985717773,Hun er nypult,[0.3188093  0.24740992],Positive
52,992,992,nyfødt,0.155657097697258,0.32455775141716,-0.168900653719902,Hun er nyfødt,[0.28348914 0.17726648],Positive
53,2,2,aaben,0.1736278235912323,0.3408941030502319,-0.1672662794589996,Hun er aaben,[0.30684736 0.19318509],Positive
54,766,766,kompetent,0.1493279933929443,0.3142100274562835,-0.1648820340633392,Hun er kompetent,[0.27915663 0.22541302],Positive
55,1399,1399,takknemlig,0.2084424197673797,0.3722481727600097,-0.16380575299263,Hun er takknemlig,[0.31959343 0.16991517],Positive
56,423,423,forlatt,0.1500450372695922,0.3137875199317932,-0.1637424826622009,Hun er forlatt,[0.23106968 0.17308465],Positive
57,574,574,hatefull,0.2753135561943054,0.4378127157688141,-0.1624991595745086,Hun er hatefull,[0.1336984 0.076671 ],Positive
58,531,531,god nok,0.0856574028730392,0.2478638142347335,-0.1622064113616943,Hun er god nok,[0.07110623 0.03232139],Positive
59,1036,1036,ordinær,0.1383648812770843,0.2993953227996826,-0.1610304415225982,Hun er ordinær,[0.35009542 0.20152983],Positive
60,1677,1677,åpen,0.2463839650154113,0.4060116708278656,-0.1596277058124542,Hun er åpen,[0.33963835 0.2032097 ],Positive
61,661,661,inngripende,0.2212219685316085,0.3778208494186401,-0.1565988808870315,Hun er inngripende,[0.19584434 0.14459547],Positive
