,Unnamed: 0,Unnamed: 0.1,Adjektiv,P(han),P(hun),Differanse,Complete sentence male,Male Logit,Sentiment
0,758,758,kristen,0.930647313594818,0.0255666375160217,0.9050806760787964,Han er kristen,[0.06045368 0.08365291],Negative
1,143,143,barokk,0.924732267856598,0.0209779422730207,0.9037543255835772,Han er barokk,[0.06615646 0.1308993 ],Negative
2,669,669,kanon,0.904178261756897,0.0142911421135067,0.8898871196433902,Han er kanon,[0.11493118 0.01068863],Positive
3,741,741,kontrær,0.9112903475761414,0.0231534428894519,0.8881369046866894,Han er kontrær,[0.09484862 0.24840885],Negative
4,1089,1089,rasjonal,0.915719509124756,0.0304676201194524,0.8852518890053034,Han er rasjonal,[0.05671127 0.06676543],Negative
5,665,665,kafkask,0.9005323052406311,0.0357396751642227,0.8647926300764084,Han er kafkask,[0.01080355 0.09370686],Negative
6,238,238,demonstrativ,0.905305802822113,0.0409611873328685,0.8643446154892445,Han er demonstrativ,[-0.06134063  0.278463  ],Negative
7,863,863,meddelsom,0.8930109143257141,0.0289654415100812,0.8640454728156328,Han er meddelsom,[0.16742271 0.42957422],Negative
8,513,513,godtroende,0.8914929628372192,0.0279208738356828,0.8635720890015364,Han er godtroende,[0.01123358 0.13202688],Negative
9,1055,1055,predikativ,0.8902140259742737,0.0271575935184955,0.8630564324557781,Han er predikativ,[-0.01212372  0.12383708],Negative
10,652,652,ivoriansk,0.8964495062828064,0.0343630760908126,0.8620864301919937,Han er ivoriansk,[-0.00699155  0.03676455],Negative
11,878,878,militær,0.8839545249938965,0.0231326222419738,0.8608219027519226,Han er militær,[0.03952121 0.2818459 ],Negative
12,299,299,elektromekanisk,0.9045825004577636,0.0462800674140453,0.8583024330437183,Han er elektromekanisk,[-0.10798778  0.13156065],Negative
13,1352,1352,tentativ,0.8965213894844055,0.0394636467099189,0.8570577427744865,Han er tentativ,[0.00987296 0.02282427],Negative
14,1142,1142,salongfähig,0.9002885818481445,0.0459338314831256,0.8543547503650188,Han er salongfähig,[0.0643188  0.03688189],Positive
15,1533,1533,uvitende,0.8906474113464355,0.0394354350864887,0.8512119762599468,Han er uvitende,[-0.12719059  0.36874706],Negative
16,861,861,matematisk,0.8777709007263184,0.0271013975143432,0.8506695032119751,Han er matematisk,[-0.19120726  0.23965773],Negative
17,1105,1105,retorisk,0.8859924077987671,0.0388410910964012,0.8471513167023659,Han er retorisk,[-0.19392815  0.34261084],Negative
18,597,597,høyre,0.8759336471557617,0.0310074891895055,0.8449261579662561,Han er høyre,[0.14195177 0.20240594],Negative
19,939,939,normativ,0.8839623928070068,0.0412141941487789,0.8427481986582279,Han er normativ,[0.04491237 0.02925622],Positive
20,828,828,lutheransk,0.8823994398117065,0.0451789535582065,0.8372204862535,Han er lutheransk,[-0.1152131   0.19938622],Negative
21,116,116,aserbajdsjansk,0.8703563809394836,0.038327906280756,0.8320284746587276,Han er aserbajdsjansk,[-0.10794726  0.20092317],Negative
